"Title","Type","Status","Week","Due Date","Topics","Student View","Release Date","Tools","Workload","Duration","Content Ready","Notes","Content"
"Course Introduction & Tools","Lecture","Planning",1,09/02/25 03:15 PM,"Introduction to Data Science - why data science - why now - course vision","Hidden",09/02/25 02:00 PM,"Jupyter/Python","Medium",75,08/31/25 02:00 PM,"First day of classes","Mini-lecture + live problem-solving: What is Data Science?

Additional Ideas to Cover:
- First Data Story Demo: Prepare simple dataset and walkthrough for rain analysis — Prepare interactive demonstration using 'Does it rain more on weekends?' as example question. Walk through all 6 steps: 1) Frame question 2) Collect data 3) Process/clean 4) Explore/analyze 5) Interpret results 6) Communicate findings. Use simple weather dataset that students can understand. Make it discussion-based: students suggest data sources, analysis approaches, potential confounding factors. Goal: show complete data science workflow without overwhelming technical details. — Interactive discussion, weekend rain example
- Course Introduction Prep: Slides for course intro, tools demo, 6-step DS process — Create slides covering: Why data science matters now, course philosophy (AI as learning partner), overview of 6-step data science process with simple example. Include tour of course tools: Blackboard Ultra (grades/announcements), Gradescope (submissions), Piazza (discussion), course website (langd0n.com with Notion board). Set tone for collaborative learning environment. Consider: opening poll about student interests, icebreaker activity, or data science in the news examples. — Course vision, tools tour, data science overview
- Programming Fundamentals Prep: Slides on variables, data types, grading structure — Create slides explaining programming basics for absolute beginners: What is programming (giving instructions to computers), variables as containers for information, data types (numbers, text, true/false) with real-world analogies. Cover course expectations: grading breakdown, accommodation process, academic integrity with AI tools. Include clear explanation of 4-5 hour weekly time commitment and how it's structured. Consider: cooking recipe analogy for programming, container metaphors for variables. — Programming concepts, course expectations, accommodations
- Programming Concepts Demo: Prepare class survey data for table creation exercise — Design hands-on activity using paper/pencil to demonstrate programming concepts. Create class survey (name, major, hometown, favorite color, etc.) and have students organize into table format by hand. Discuss different types of information and how to categorize them. Introduce concept of giving step-by-step instructions. Facilitate tech buddy partnerships for first few weeks. Include time for questions about course structure and expectations. — Paper-based programming practice, tech buddy assignment
- Tech Setup Lab Prep: Instructions for Jupyter troubleshooting, partnership facilitation — Prepare detailed instructions for TAs on: Jupyter server troubleshooting (common login issues, browser compatibility, password resets), facilitating tech buddy partnerships, basic programming concepts review. Include backup plans for students who can't access Jupyter (paper exercises, observation roles). Create simple programming exercises for students who get connected early. Provide scripts for explaining course tools (Gradescope submission, Piazza posting). Include checklist for ensuring all students have necessary accounts. — TA materials for tech setup and programming intro"
"Programming Fundamentals & Course Expectations","Lecture","Planning",1,09/04/25 03:15 PM,"Data Science Research Process + AI collaboration basics","Hidden",09/04/25 02:00 PM,"Jupyter/Python","Medium",75,09/02/25 02:00 PM,"Week 1 Thursday","Programming basics + course expectations

Additional Ideas to Cover:
- Programming Fundamentals Prep: Slides on variables, data types, grading structure — Create slides explaining programming basics for absolute beginners: What is programming (giving instructions to computers), variables as containers for information, data types (numbers, text, true/false) with real-world analogies. Cover course expectations: grading breakdown, accommodation process, academic integrity with AI tools. Include clear explanation of 4-5 hour weekly time commitment and how it's structured. Consider: cooking recipe analogy for programming, container metaphors for variables. — Programming concepts, course expectations, accommodations
- First Data Story Demo: Prepare simple dataset and walkthrough for rain analysis — Prepare interactive demonstration using 'Does it rain more on weekends?' as example question. Walk through all 6 steps: 1) Frame question 2) Collect data 3) Process/clean 4) Explore/analyze 5) Interpret results 6) Communicate findings. Use simple weather dataset that students can understand. Make it discussion-based: students suggest data sources, analysis approaches, potential confounding factors. Goal: show complete data science workflow without overwhelming technical details. — Interactive discussion, weekend rain example
- Course Introduction Prep: Slides for course intro, tools demo, 6-step DS process — Create slides covering: Why data science matters now, course philosophy (AI as learning partner), overview of 6-step data science process with simple example. Include tour of course tools: Blackboard Ultra (grades/announcements), Gradescope (submissions), Piazza (discussion), course website (langd0n.com with Notion board). Set tone for collaborative learning environment. Consider: opening poll about student interests, icebreaker activity, or data science in the news examples. — Course vision, tools tour, data science overview
- Programming Concepts Demo: Prepare class survey data for table creation exercise — Design hands-on activity using paper/pencil to demonstrate programming concepts. Create class survey (name, major, hometown, favorite color, etc.) and have students organize into table format by hand. Discuss different types of information and how to categorize them. Introduce concept of giving step-by-step instructions. Facilitate tech buddy partnerships for first few weeks. Include time for questions about course structure and expectations. — Paper-based programming practice, tech buddy assignment
- Tech Setup Lab Prep: Instructions for Jupyter troubleshooting, partnership facilitation — Prepare detailed instructions for TAs on: Jupyter server troubleshooting (common login issues, browser compatibility, password resets), facilitating tech buddy partnerships, basic programming concepts review. Include backup plans for students who can't access Jupyter (paper exercises, observation roles). Create simple programming exercises for students who get connected early. Provide scripts for explaining course tools (Gradescope submission, Piazza posting). Include checklist for ensuring all students have necessary accounts. — TA materials for tech setup and programming intro"
"Programming Concepts Demo","Lecture","Planning",1,09/04/25 03:15 PM,"Paper-based programming practice - tech buddy assignment","Hidden",09/04/25 02:00 PM,"Paper/Pencil","Light",40,09/02/25 02:00 PM,"Part of Thursday session","Live problem-solving without code

Additional Ideas to Cover:
- Programming Concepts Demo: Prepare class survey data for table creation exercise — Design hands-on activity using paper/pencil to demonstrate programming concepts. Create class survey (name, major, hometown, favorite color, etc.) and have students organize into table format by hand. Discuss different types of information and how to categorize them. Introduce concept of giving step-by-step instructions. Facilitate tech buddy partnerships for first few weeks. Include time for questions about course structure and expectations. — Paper-based programming practice, tech buddy assignment
- First Data Story Demo: Prepare simple dataset and walkthrough for rain analysis — Prepare interactive demonstration using 'Does it rain more on weekends?' as example question. Walk through all 6 steps: 1) Frame question 2) Collect data 3) Process/clean 4) Explore/analyze 5) Interpret results 6) Communicate findings. Use simple weather dataset that students can understand. Make it discussion-based: students suggest data sources, analysis approaches, potential confounding factors. Goal: show complete data science workflow without overwhelming technical details. — Interactive discussion, weekend rain example
- Course Introduction Prep: Slides for course intro, tools demo, 6-step DS process — Create slides covering: Why data science matters now, course philosophy (AI as learning partner), overview of 6-step data science process with simple example. Include tour of course tools: Blackboard Ultra (grades/announcements), Gradescope (submissions), Piazza (discussion), course website (langd0n.com with Notion board). Set tone for collaborative learning environment. Consider: opening poll about student interests, icebreaker activity, or data science in the news examples. — Course vision, tools tour, data science overview
- Programming Fundamentals Prep: Slides on variables, data types, grading structure — Create slides explaining programming basics for absolute beginners: What is programming (giving instructions to computers), variables as containers for information, data types (numbers, text, true/false) with real-world analogies. Cover course expectations: grading breakdown, accommodation process, academic integrity with AI tools. Include clear explanation of 4-5 hour weekly time commitment and how it's structured. Consider: cooking recipe analogy for programming, container metaphors for variables. — Programming concepts, course expectations, accommodations
- Tech Setup Lab Prep: Instructions for Jupyter troubleshooting, partnership facilitation — Prepare detailed instructions for TAs on: Jupyter server troubleshooting (common login issues, browser compatibility, password resets), facilitating tech buddy partnerships, basic programming concepts review. Include backup plans for students who can't access Jupyter (paper exercises, observation roles). Create simple programming exercises for students who get connected early. Provide scripts for explaining course tools (Gradescope submission, Piazza posting). Include checklist for ensuring all students have necessary accounts. — TA materials for tech setup and programming intro"
"GAI-E01: Intro to Programming","Assignment","Planning",1,09/09/25 02:00 PM,"Programming concepts - data science connection - number systems","Hidden",09/04/25 06:00 PM,"ChatGPT/Claude","Heavy",180,09/02/25 06:00 PM,"Released Thursday evening - due before Week 2 Tuesday","Structured AI exploration assignment

Additional Ideas to Cover:
- First Data Story Demo: Prepare simple dataset and walkthrough for rain analysis — Prepare interactive demonstration using 'Does it rain more on weekends?' as example question. Walk through all 6 steps: 1) Frame question 2) Collect data 3) Process/clean 4) Explore/analyze 5) Interpret results 6) Communicate findings. Use simple weather dataset that students can understand. Make it discussion-based: students suggest data sources, analysis approaches, potential confounding factors. Goal: show complete data science workflow without overwhelming technical details. — Interactive discussion, weekend rain example
- Course Introduction Prep: Slides for course intro, tools demo, 6-step DS process — Create slides covering: Why data science matters now, course philosophy (AI as learning partner), overview of 6-step data science process with simple example. Include tour of course tools: Blackboard Ultra (grades/announcements), Gradescope (submissions), Piazza (discussion), course website (langd0n.com with Notion board). Set tone for collaborative learning environment. Consider: opening poll about student interests, icebreaker activity, or data science in the news examples. — Course vision, tools tour, data science overview
- Programming Fundamentals Prep: Slides on variables, data types, grading structure — Create slides explaining programming basics for absolute beginners: What is programming (giving instructions to computers), variables as containers for information, data types (numbers, text, true/false) with real-world analogies. Cover course expectations: grading breakdown, accommodation process, academic integrity with AI tools. Include clear explanation of 4-5 hour weekly time commitment and how it's structured. Consider: cooking recipe analogy for programming, container metaphors for variables. — Programming concepts, course expectations, accommodations
- Programming Concepts Demo: Prepare class survey data for table creation exercise — Design hands-on activity using paper/pencil to demonstrate programming concepts. Create class survey (name, major, hometown, favorite color, etc.) and have students organize into table format by hand. Discuss different types of information and how to categorize them. Introduce concept of giving step-by-step instructions. Facilitate tech buddy partnerships for first few weeks. Include time for questions about course structure and expectations. — Paper-based programming practice, tech buddy assignment
- Tech Setup Lab Prep: Instructions for Jupyter troubleshooting, partnership facilitation — Prepare detailed instructions for TAs on: Jupyter server troubleshooting (common login issues, browser compatibility, password resets), facilitating tech buddy partnerships, basic programming concepts review. Include backup plans for students who can't access Jupyter (paper exercises, observation roles). Create simple programming exercises for students who get connected early. Provide scripts for explaining course tools (Gradescope submission, Piazza posting). Include checklist for ensuring all students have necessary accounts. — TA materials for tech setup and programming intro"
"Grading Structure & Assessment Philosophy","Lecture","Planning",2,09/09/25 03:15 PM,"How learning works in this course","Hidden",09/09/25 02:00 PM,"Discussion","Medium",75,09/07/25 02:00 PM,"Week 2 Tuesday","Assessment philosophy + grading breakdown

Additional Ideas to Cover:
- Grading Structure Prep: Detailed slides on portfolio, demos, mini-exams, capstone — Create comprehensive presentation on course assessment philosophy: focus on understanding over memorization, multiple ways to demonstrate learning, growth-oriented approach. Detail grading breakdown: 30% GenAI Exploration Portfolio (completion-based), 25% Friday Understanding Demos (TA-verified), 25% Mini-Exams (3 total), 20% Capstone Project. Explain accommodation process clearly. Emphasize that AI collaboration is encouraged in exploration but prohibited in exams. Include examples of what 'understanding demonstration' looks like. — Assessment philosophy, grading breakdown, accommodations
- First Python Code Demo: Live coding examples, common error demonstrations — Prepare live coding demonstration in Jupyter showing: creating variables with different data types, basic operations, common beginner errors and how to debug them. Use examples that connect to real data (student_name = 'Alice', age = 20, gpa = 3.7). Show how Python displays different data types, what happens when you mix types inappropriately. Include deliberate mistakes to show debugging process. Have students follow along in paired work, with backup for those still having tech issues. — Variables and data types in Python
- Number Systems Prep: Interactive exercises for number conversion — Create interactive presentation on number systems: why computers use binary, how to count in binary (0-15), introduction to hexadecimal (color codes, memory addresses), brief mention of octal. Focus on conceptual understanding rather than memorization. Prepare hands-on exercises using calculators for conversion practice. Connect to real-world examples: color codes (#FF0000), file sizes, memory addresses. Introduce concept of lists as way to organize multiple pieces of information. — Binary, decimal, hex systems, lists introduction
- Number Systems Practice: Calculators for conversion, real-world hex examples — Hands-on practice session with number conversion using calculators and Python. Show Python functions for base conversion (bin(), hex(), int()). Create lists in Python to organize information. Use real examples: hex color codes in web design, binary in file sizes. Students work in pairs on conversion exercises and list creation. Include fun elements: binary counting on fingers, hex color picker exploration, creating lists of class data. — Number conversion, lists in Python
- Programming Foundations Lab Prep: Final tech resolution protocols, programming practice guidance — Prepare TA materials for final round of tech issue resolution, programming concept reinforcement exercises, mini-assessment protocols. Include exercises for students to practice: variable creation, data type identification, simple list operations. Create understanding check rubrics: can student explain variable concept, demonstrate creating different data types, describe when to use lists. Provide backup activities for any remaining students without Jupyter access. — TA materials for programming foundations"
"Number Systems & Lists","Lecture","Planning",2,09/11/25 03:15 PM,"Binary - decimal - hexadecimal basics + organizing information","Hidden",09/11/25 02:00 PM,"Python","Medium",75,09/09/25 02:00 PM,"Week 2 Thursday","How computers count & organize information

Additional Ideas to Cover:
- Grading Structure Prep: Detailed slides on portfolio, demos, mini-exams, capstone — Create comprehensive presentation on course assessment philosophy: focus on understanding over memorization, multiple ways to demonstrate learning, growth-oriented approach. Detail grading breakdown: 30% GenAI Exploration Portfolio (completion-based), 25% Friday Understanding Demos (TA-verified), 25% Mini-Exams (3 total), 20% Capstone Project. Explain accommodation process clearly. Emphasize that AI collaboration is encouraged in exploration but prohibited in exams. Include examples of what 'understanding demonstration' looks like. — Assessment philosophy, grading breakdown, accommodations
- First Python Code Demo: Live coding examples, common error demonstrations — Prepare live coding demonstration in Jupyter showing: creating variables with different data types, basic operations, common beginner errors and how to debug them. Use examples that connect to real data (student_name = 'Alice', age = 20, gpa = 3.7). Show how Python displays different data types, what happens when you mix types inappropriately. Include deliberate mistakes to show debugging process. Have students follow along in paired work, with backup for those still having tech issues. — Variables and data types in Python
- Number Systems Prep: Interactive exercises for number conversion — Create interactive presentation on number systems: why computers use binary, how to count in binary (0-15), introduction to hexadecimal (color codes, memory addresses), brief mention of octal. Focus on conceptual understanding rather than memorization. Prepare hands-on exercises using calculators for conversion practice. Connect to real-world examples: color codes (#FF0000), file sizes, memory addresses. Introduce concept of lists as way to organize multiple pieces of information. — Binary, decimal, hex systems, lists introduction
- Number Systems Practice: Calculators for conversion, real-world hex examples — Hands-on practice session with number conversion using calculators and Python. Show Python functions for base conversion (bin(), hex(), int()). Create lists in Python to organize information. Use real examples: hex color codes in web design, binary in file sizes. Students work in pairs on conversion exercises and list creation. Include fun elements: binary counting on fingers, hex color picker exploration, creating lists of class data. — Number conversion, lists in Python
- Programming Foundations Lab Prep: Final tech resolution protocols, programming practice guidance — Prepare TA materials for final round of tech issue resolution, programming concept reinforcement exercises, mini-assessment protocols. Include exercises for students to practice: variable creation, data type identification, simple list operations. Create understanding check rubrics: can student explain variable concept, demonstrate creating different data types, describe when to use lists. Provide backup activities for any remaining students without Jupyter access. — TA materials for programming foundations"
"Programming Foundations Lab","Lab","Planning",2,09/12/25 02:30 PM,"Programming practice + mini-assessment","Hidden",09/12/25 09:00 AM,"Python","Medium",55,09/10/25 09:00 AM,"Week 2 Friday lab","Paired programming practice

Additional Ideas to Cover:
- Programming Foundations Lab Prep: Final tech resolution protocols, programming practice guidance — Prepare TA materials for final round of tech issue resolution, programming concept reinforcement exercises, mini-assessment protocols. Include exercises for students to practice: variable creation, data type identification, simple list operations. Create understanding check rubrics: can student explain variable concept, demonstrate creating different data types, describe when to use lists. Provide backup activities for any remaining students without Jupyter access. — TA materials for programming foundations
- Programming Foundations Lab Session: Variables, lists, basic operations verification — Final tech issue resolution, hands-on programming practice with variables and lists, mini-assessment to verify understanding. Students demonstrate programming concepts to TA, practice basic operations, get individual help as needed. Focus on building confidence before moving to data tables. — Programming foundations practice
- Grading Structure Prep: Detailed slides on portfolio, demos, mini-exams, capstone — Create comprehensive presentation on course assessment philosophy: focus on understanding over memorization, multiple ways to demonstrate learning, growth-oriented approach. Detail grading breakdown: 30% GenAI Exploration Portfolio (completion-based), 25% Friday Understanding Demos (TA-verified), 25% Mini-Exams (3 total), 20% Capstone Project. Explain accommodation process clearly. Emphasize that AI collaboration is encouraged in exploration but prohibited in exams. Include examples of what 'understanding demonstration' looks like. — Assessment philosophy, grading breakdown, accommodations
- First Python Code Demo: Live coding examples, common error demonstrations — Prepare live coding demonstration in Jupyter showing: creating variables with different data types, basic operations, common beginner errors and how to debug them. Use examples that connect to real data (student_name = 'Alice', age = 20, gpa = 3.7). Show how Python displays different data types, what happens when you mix types inappropriately. Include deliberate mistakes to show debugging process. Have students follow along in paired work, with backup for those still having tech issues. — Variables and data types in Python
- Number Systems Prep: Interactive exercises for number conversion — Create interactive presentation on number systems: why computers use binary, how to count in binary (0-15), introduction to hexadecimal (color codes, memory addresses), brief mention of octal. Focus on conceptual understanding rather than memorization. Prepare hands-on exercises using calculators for conversion practice. Connect to real-world examples: color codes (#FF0000), file sizes, memory addresses. Introduce concept of lists as way to organize multiple pieces of information. — Binary, decimal, hex systems, lists introduction"
"GAI-E02: Programming Deep Dive","Assignment","Planning",2,09/16/25 02:00 PM,"Programming deep dive - binary/hexadecimal - data science applications","Hidden",09/11/25 06:00 PM,"ChatGPT/Claude","Heavy",180,09/09/25 06:00 PM,"Released Thursday evening - due before Week 3 Tuesday","Programming concepts with AI

Additional Ideas to Cover:
- Grading Structure Prep: Detailed slides on portfolio, demos, mini-exams, capstone — Create comprehensive presentation on course assessment philosophy: focus on understanding over memorization, multiple ways to demonstrate learning, growth-oriented approach. Detail grading breakdown: 30% GenAI Exploration Portfolio (completion-based), 25% Friday Understanding Demos (TA-verified), 25% Mini-Exams (3 total), 20% Capstone Project. Explain accommodation process clearly. Emphasize that AI collaboration is encouraged in exploration but prohibited in exams. Include examples of what 'understanding demonstration' looks like. — Assessment philosophy, grading breakdown, accommodations
- First Python Code Demo: Live coding examples, common error demonstrations — Prepare live coding demonstration in Jupyter showing: creating variables with different data types, basic operations, common beginner errors and how to debug them. Use examples that connect to real data (student_name = 'Alice', age = 20, gpa = 3.7). Show how Python displays different data types, what happens when you mix types inappropriately. Include deliberate mistakes to show debugging process. Have students follow along in paired work, with backup for those still having tech issues. — Variables and data types in Python
- Number Systems Prep: Interactive exercises for number conversion — Create interactive presentation on number systems: why computers use binary, how to count in binary (0-15), introduction to hexadecimal (color codes, memory addresses), brief mention of octal. Focus on conceptual understanding rather than memorization. Prepare hands-on exercises using calculators for conversion practice. Connect to real-world examples: color codes (#FF0000), file sizes, memory addresses. Introduce concept of lists as way to organize multiple pieces of information. — Binary, decimal, hex systems, lists introduction
- Number Systems Practice: Calculators for conversion, real-world hex examples — Hands-on practice session with number conversion using calculators and Python. Show Python functions for base conversion (bin(), hex(), int()). Create lists in Python to organize information. Use real examples: hex color codes in web design, binary in file sizes. Students work in pairs on conversion exercises and list creation. Include fun elements: binary counting on fingers, hex color picker exploration, creating lists of class data. — Number conversion, lists in Python
- Programming Foundations Lab Prep: Final tech resolution protocols, programming practice guidance — Prepare TA materials for final round of tech issue resolution, programming concept reinforcement exercises, mini-assessment protocols. Include exercises for students to practice: variable creation, data type identification, simple list operations. Create understanding check rubrics: can student explain variable concept, demonstrate creating different data types, describe when to use lists. Provide backup activities for any remaining students without Jupyter access. — TA materials for programming foundations"
"Introduction to Tables and Data Organization","Lecture","Planning",3,09/16/25 03:15 PM,"From messy information to clean tables","Hidden",09/16/25 02:00 PM,"Pandas","Medium",75,09/14/25 02:00 PM,"Week 3 Tuesday","Building first data table

Additional Ideas to Cover:
- First DataFrame Demo: Class survey data, paper-to-code transition — Live demonstration of creating first DataFrame using class survey data from Week 1. Show transition from paper table to Python code step-by-step. Demonstrate basic DataFrame operations: .shape, .info(), .head(), .describe(). Have students follow along in paired work, creating their own simple DataFrames. Focus on connecting conceptual understanding (tables) to practical tool (pandas). Include common error troubleshooting and debugging strategies. — Creating DataFrames, basic operations
- Data Tables Prep: Examples from daily life, clean vs messy data concepts — Create presentation on data organization: why tables are fundamental to data science, rows as observations vs columns as variables, examples from daily life (gradebooks, shopping receipts, contact lists). Introduce concept of 'clean' vs 'messy' data with visual examples. Explain why pandas library exists (regular Python lists aren't sufficient for data analysis). Include interactive elements: students identify table structures in their daily life, discuss what makes data hard to work with. — Tables, rows/columns, pandas introduction
- Real Data Quality Prep: Examples of messy real-world data — Prepare presentation on reality of data work: real data is always messy, common problems (missing values, inconsistent formats, typos, wrong data types), why data cleaning takes 80% of data science time. Show before/after examples of messy vs clean datasets. Discuss ethical implications of data quality decisions. Include examples from news/research where data quality affected conclusions. Set expectations that this is normal and important skill. — Data quality, cleaning concepts
- Dataset Exploration Demo: Interesting but manageable dataset for exploration — Live exploration of real dataset with actual quality issues. Demonstrate loading data from CSV, initial exploration (.shape, .info(), .head()), identifying problems (missing values, wrong data types, outliers), basic cleaning operations. Choose dataset that's interesting but not overwhelming - maybe local weather data, movie ratings, or social media trends. Students follow along, discuss what they observe, suggest next steps for analysis. — Loading and exploring real datasets
- Data Tables Lab Prep: Understanding check protocols, hands-on practice datasets — Prepare materials for TA to verify student understanding of table concepts and DataFrame operations. Include datasets for hands-on practice, rubrics for understanding checks (can student explain row vs column, create simple DataFrame, identify data quality issues), troubleshooting guides for common pandas errors. Provide structured activities for students to practice DataFrame creation and exploration with different datasets. — TA materials for data tables practice"
"Working with Real Data","Lecture","Planning",3,09/18/25 03:15 PM,"Real data is always messy","Hidden",09/18/25 02:00 PM,"Pandas","Medium",75,09/16/25 02:00 PM,"Week 3 Thursday","Exploring a real dataset

Additional Ideas to Cover:
- Real Data Quality Prep: Examples of messy real-world data — Prepare presentation on reality of data work: real data is always messy, common problems (missing values, inconsistent formats, typos, wrong data types), why data cleaning takes 80% of data science time. Show before/after examples of messy vs clean datasets. Discuss ethical implications of data quality decisions. Include examples from news/research where data quality affected conclusions. Set expectations that this is normal and important skill. — Data quality, cleaning concepts
- First DataFrame Demo: Class survey data, paper-to-code transition — Live demonstration of creating first DataFrame using class survey data from Week 1. Show transition from paper table to Python code step-by-step. Demonstrate basic DataFrame operations: .shape, .info(), .head(), .describe(). Have students follow along in paired work, creating their own simple DataFrames. Focus on connecting conceptual understanding (tables) to practical tool (pandas). Include common error troubleshooting and debugging strategies. — Creating DataFrames, basic operations
- Data Tables Prep: Examples from daily life, clean vs messy data concepts — Create presentation on data organization: why tables are fundamental to data science, rows as observations vs columns as variables, examples from daily life (gradebooks, shopping receipts, contact lists). Introduce concept of 'clean' vs 'messy' data with visual examples. Explain why pandas library exists (regular Python lists aren't sufficient for data analysis). Include interactive elements: students identify table structures in their daily life, discuss what makes data hard to work with. — Tables, rows/columns, pandas introduction
- Dataset Exploration Demo: Interesting but manageable dataset for exploration — Live exploration of real dataset with actual quality issues. Demonstrate loading data from CSV, initial exploration (.shape, .info(), .head()), identifying problems (missing values, wrong data types, outliers), basic cleaning operations. Choose dataset that's interesting but not overwhelming - maybe local weather data, movie ratings, or social media trends. Students follow along, discuss what they observe, suggest next steps for analysis. — Loading and exploring real datasets
- Data Tables Lab Prep: Understanding check protocols, hands-on practice datasets — Prepare materials for TA to verify student understanding of table concepts and DataFrame operations. Include datasets for hands-on practice, rubrics for understanding checks (can student explain row vs column, create simple DataFrame, identify data quality issues), troubleshooting guides for common pandas errors. Provide structured activities for students to practice DataFrame creation and exploration with different datasets. — TA materials for data tables practice"
